,Ano de referência do Coleta,Grande área do conhecimento do programa de pós-graduação,Área de conhecimento do programa de pós-graduação,Área básica do conhecimento do programa de pós-graduação,Subárea do conhecimento do programa de pós-graduação,Especialidade do conhecimento programa de pós-graduação,Código identificador da área de avaliação do programa de pós-graduação,Área de avaliação do programa de pós-graduação,Código da Instituição de Ensino Superior na CAPES,Código e-Mec da Instituição de Ensino Superior,Sigla da Instituição de Ensino Superior do programa de pós-graduação,Instituição de Ensino Superior do programa de pós-graduação,Indicador de programa de pós-graduação em rede,"Siglas das Instituições que compõem o programa em rede, quando for o caso",Status Jurídico da Instituição de Ensino Superior,Dependência administrativa da Instituição de Ensino Superior,Organização acadêmica da Instituição de Ensino Superior,Grande Região onde está localizado o programa,Sigla da Unidade da Federação do programa,Município sede do programa de pós-graduação,Modalidade do programa de pós-graduação,Código do programa de pós-graduação,Nome do programa de pós-graduação,Nome do programa de pós-graduação em inglês,Nível do programa de pós-graduação,Nota/Conceito do programa de pós-graduação,Ano de início do programa de pós-graduação,Ano de início de cada curso que compõe o programa,Situação do programa no ano de referência
229,2021,CIÊNCIAS AGRÁRIAS,RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL,RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL,NÃO SE APLICA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,15002012,590,UFRA,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15002012008P0,CIÊNCIAS FLORESTAIS,FOREST SCIENCE,MESTRADO/DOUTORADO,3,2013,2013/2013,EM FUNCIONAMENTO
22,2021,CIÊNCIAS AGRÁRIAS,RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL,RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL,NÃO SE APLICA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,11001011,549,UFAC,UNIVERSIDADE FEDERAL DO ACRE,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AC,RIO BRANCO,ACADÊMICO,11001011071P6,CIÊNCIA FLORESTAL,FOREST SCIENCE MASTER,MESTRADO,3,2016,2016,EM FUNCIONAMENTO
47,2021,CIÊNCIAS AGRÁRIAS,RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL,RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL,NÃO SE APLICA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015016P8,CIÊNCIAS FLORESTAIS E AMBIENTAIS,FORESTRY AND ENVIRONMENTAL SCIENCES,MESTRADO,3,2003,2003,EM FUNCIONAMENTO
81,2021,CIÊNCIAS BIOLÓGICAS,ECOLOGIA,ECOLOGIA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,12002011,NI,INPA,INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,AM,MANAUS,ACADÊMICO,12002011001P7,CIÊNCIAS BIOLÓGICAS,FRESHWATER BIOLOGY AND INLAND FISHERIES,MESTRADO/DOUTORADO,4,1976,1976/1984,EM FUNCIONAMENTO
209,2021,CIÊNCIAS BIOLÓGICAS,GENÉTICA,GENÉTICA,NÃO SE APLICA,NÃO SE APLICA,6,CIÊNCIAS BIOLÓGICAS I,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016032P1,GENÉTICA E BIOLOGIA MOLECULAR,GENETICS AND MOLECULAR BIOLOGY,MESTRADO/DOUTORADO,6,2001,2001/2001,EM FUNCIONAMENTO
79,2021,CIÊNCIAS BIOLÓGICAS,GENÉTICA,GENÉTICA,NÃO SE APLICA,NÃO SE APLICA,6,CIÊNCIAS BIOLÓGICAS I,12002011,NI,INPA,INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,AM,MANAUS,ACADÊMICO,12002011009P8,"GENÉTICA, CONSERVAÇÃO E BIOLOGIA EVOLUTIVA","GENETICS, CONSERVATION AND EVOLUTIONARY BIOLOGY",MESTRADO/DOUTORADO,4,2003,2003/2003,EM FUNCIONAMENTO
248,2021,CIÊNCIAS HUMANAS,GEOGRAFIA,GEOGRAFIA,NÃO SE APLICA,NÃO SE APLICA,36,GEOGRAFIA,15006018,38,UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15006018011P6,GEOGRAFIA,GEOGRAPHY,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
169,2021,CIÊNCIAS HUMANAS,GEOGRAFIA,GEOGRAFIA REGIONAL,GEOGRAFIA REGIONAL,NÃO SE APLICA,36,GEOGRAFIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016042P7,GEOGRAFIA,GEOGRAPHY,MESTRADO/DOUTORADO,4,2004,2004/2016,EM FUNCIONAMENTO
315,2021,CIÊNCIAS HUMANAS,GEOGRAFIA,GEOGRAFIA,NÃO SE APLICA,NÃO SE APLICA,36,GEOGRAFIA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010047P3,"GEOGRAFIA, AMBIENTE E SOCIEDADE","GEOGRAPHY, ENVIRONMENT AND SOCIETY",MESTRADO,A,2019,2019,EM FUNCIONAMENTO
347,2021,CIÊNCIAS HUMANAS,GEOGRAFIA,GEOGRAFIA,NÃO SE APLICA,NÃO SE APLICA,36,GEOGRAFIA,20002017,568,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20002017039P7,"GEOGRAFIA, NATUREZA E DINÂMICA DO ESPAÇO","GEOGRAPHY, NATURE AND SPACE DYNAMIC",MESTRADO,3,2015,2015,EM FUNCIONAMENTO
41,2021,CIÊNCIAS EXATAS E DA TERRA,GEOCIÊNCIAS,GEOCIÊNCIAS,NÃO SE APLICA,NÃO SE APLICA,5,GEOCIÊNCIAS,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015008P5,GEOCIÊNCIAS,GEOSCIENCES,MESTRADO,3,2000,2000,EM FUNCIONAMENTO
354,2021,CIÊNCIAS AGRÁRIAS,AGRONOMIA,AGRONOMIA,NÃO SE APLICA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,20002017,568,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20002017001P0,AGROECOLOGIA,GRADUATE PROGRAM IN AGROECOLOGY,MESTRADO/DOUTORADO,4,1996,1996/2013,EM FUNCIONAMENTO
106,2021,CIÊNCIAS AGRÁRIAS,AGRONOMIA,AGRONOMIA,NÃO SE APLICA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,13001019,789,UFRR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RR,BOA VISTA,ACADÊMICO,13001019004P2,AGRONOMIA,GRADUATE PROGRAM IN AGRONOMY,MESTRADO/DOUTORADO,4,2007,2007/2014,EM FUNCIONAMENTO
138,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,MEIO AMBIENTE E AGRÁRIAS,MEIO AMBIENTE E AGRÁRIAS,NÃO SE APLICA,45,INTERDISCIPLINAR,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016027P8,AGRICULTURAS AMAZÔNICAS,GRADUATE PROGRAM IN AMAZONIAN AGRICULTURE,MESTRADO/DOUTORADO,4,2000,2000/2019,EM FUNCIONAMENTO
197,2021,CIÊNCIAS HUMANAS,ANTROPOLOGIA,ANTROPOLOGIA,NÃO SE APLICA,NÃO SE APLICA,35,ANTROPOLOGIA / ARQUEOLOGIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016060P5,ANTROPOLOGIA,GRADUATE PROGRAM IN ANTHROPOLOGY,MESTRADO/DOUTORADO,5,2010,2010/2010,EM FUNCIONAMENTO
132,2021,CIÊNCIAS EXATAS E DA TERRA,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,NÃO SE APLICA,NÃO SE APLICA,2,CIÊNCIA DA COMPUTAÇÃO,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,TUCURUÍ,PROFISSIONAL,15001016092P4,COMPUTAÇÃO APLICADA,GRADUATE PROGRAM IN APPLIED COMPUTING,MESTRADO PROFISSIONAL,3,2016,2016,EM FUNCIONAMENTO
188,2021,"LINGÜÍSTICA, LETRAS E ARTES",ARTES,ARTES,NÃO SE APLICA,NÃO SE APLICA,11,ARTES,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016055P1,ARTES,GRADUATE PROGRAM IN ARTS FEDERAL UNIVERSITY OF PARA,MESTRADO/DOUTORADO,4,2009,2009/2016,EM FUNCIONAMENTO
78,2021,CIÊNCIAS BIOLÓGICAS,BOTÂNICA,BOTÂNICA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,12002011,NI,INPA,INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,AM,MANAUS,ACADÊMICO,12002011002P3,CIÊNCIAS BIOLÓGICAS (BOTÂNICA),GRADUATE PROGRAM IN BOTANY,MESTRADO/DOUTORADO,4,1973,1973/1976,EM FUNCIONAMENTO
145,2021,ENGENHARIAS,ENGENHARIA CIVIL,ENGENHARIA CIVIL,NÃO SE APLICA,NÃO SE APLICA,10,ENGENHARIAS I,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016031P5,ENGENHARIA CIVIL,GRADUATE PROGRAM IN CIVIL ENGINEERING,MESTRADO/DOUTORADO,4,1999,1999/2015,EM FUNCIONAMENTO
383,2021,CIÊNCIAS SOCIAIS APLICADAS,COMUNICAÇÃO,COMUNICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,31,COMUNICAÇÃO E INFORMAÇÃO,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014026P9,COMUNICAÇÃO,GRADUATE PROGRAM IN COMMUNICATION STUDIES,MESTRADO,3,2011,2011,EM FUNCIONAMENTO
155,2021,CIÊNCIAS SOCIAIS APLICADAS,COMUNICAÇÃO,COMUNICAÇÃO,NÃO SE APLICA,NÃO SE APLICA,31,COMUNICAÇÃO E INFORMAÇÃO,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016062P8,"COMUNICAÇÃO, CULTURA E AMAZÔNIA","GRADUATE PROGRAM IN COMMUNICATION, CULTURE AND AMAZON",MESTRADO/DOUTORADO,4,2010,2010/2019,EM FUNCIONAMENTO
370,2021,CIÊNCIAS DA SAÚDE,ODONTOLOGIA,CLÍNICA ODONTOLÓGICA,CLÍNICA ODONTOLÓGICA,NÃO SE APLICA,18,ODONTOLOGIA,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014028P1,ODONTOLOGIA,"GRADUATE PROGRAM IN DENTISTRY, UNIVERSIDADE FEDERAL DO PIAUI",MESTRADO,3,2011,2011,EM FUNCIONAMENTO
84,2021,CIÊNCIAS BIOLÓGICAS,ECOLOGIA,ECOLOGIA,NÃO SE APLICA,NÃO SE APLICA,7,BIODIVERSIDADE,12002011,NI,INPA,INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,AM,MANAUS,ACADÊMICO,12002011003P0,BIOLOGIA (ECOLOGIA),GRADUATE PROGRAM IN ECOLOGY,MESTRADO/DOUTORADO,6,1976,1976/1976,EM FUNCIONAMENTO
154,2021,CIÊNCIAS SOCIAIS APLICADAS,ECONOMIA,ECONOMIA,NÃO SE APLICA,NÃO SE APLICA,28,ECONOMIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016050P0,ECONOMIA,GRADUATE PROGRAM IN ECONOMICS - FEDERAL UNIVERSITY OF PARÁ (BRAZIL),MESTRADO/DOUTORADO,4,2006,2006/2015,EM FUNCIONAMENTO
103,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,EDUCAÇÃO,NÃO SE APLICA,NÃO SE APLICA,38,EDUCAÇÃO,13001019,789,UFRR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RR,BOA VISTA,ACADÊMICO,13001019041P5,EDUCAÇÃO,GRADUATE PROGRAM IN EDUCATION,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
92,2021,MULTIDISCIPLINAR,ENSINO,ENSINO DE CIÊNCIAS E MATEMÁTICA,ENSINO DE CIÊNCIAS E MATEMÁTICA,NÃO SE APLICA,46,ENSINO,12008010,3172,UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12008010005P4,EDUCAÇÃO EM CIÊNCIAS NA AMAZÔNIA,GRADUATE PROGRAM IN EDUCATION AND TEACHING SCIENCE IN THE AMAZON,MESTRADO,5,2011,2011,EM FUNCIONAMENTO
56,2021,ENGENHARIAS,ENGENHARIA ELÉTRICA,ENGENHARIA ELÉTRICA,NÃO SE APLICA,NÃO SE APLICA,14,ENGENHARIAS IV,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015021P1,ENGENHARIA ELÉTRICA,GRADUATE PROGRAM IN ELECTRICAL ENGINEERING,MESTRADO/DOUTORADO,4,2005,2005/2019,EM FUNCIONAMENTO
394,2021,ENGENHARIAS,ENGENHARIA ELÉTRICA,ENGENHARIA ELÉTRICA,NÃO SE APLICA,NÃO SE APLICA,14,ENGENHARIAS IV,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,SIM,UFC,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014078P9,ENGENHARIA ELÉTRICA,GRADUATE PROGRAM IN ELECTRICAL ENGINEERING,MESTRADO,3,2016,2016,EM FUNCIONAMENTO
151,2021,ENGENHARIAS,ENGENHARIA ELÉTRICA,ENGENHARIA ELÉTRICA,NÃO SE APLICA,NÃO SE APLICA,14,ENGENHARIAS IV,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016004P8,ENGENHARIA ELÉTRICA,GRADUATE PROGRAM IN ELECTRICAL ENGINEERING,MESTRADO/DOUTORADO,5,1986,1986/1998,EM FUNCIONAMENTO
63,2021,CIÊNCIAS HUMANAS,GEOGRAFIA,GEOGRAFIA,NÃO SE APLICA,NÃO SE APLICA,36,GEOGRAFIA,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015026P3,GEOGRAFIA,GRADUATE PROGRAM IN GEOGRAPHY,MESTRADO/DOUTORADO,4,2007,2007/2019,EM FUNCIONAMENTO
107,2021,CIÊNCIAS HUMANAS,GEOGRAFIA,GEOGRAFIA,NÃO SE APLICA,NÃO SE APLICA,36,GEOGRAFIA,13001019,789,UFRR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RR,BOA VISTA,ACADÊMICO,13001019006P5,GEOGRAFIA,GRADUATE PROGRAM IN GEOGRAPHY,MESTRADO,3,2011,2011,EM FUNCIONAMENTO
202,2021,CIÊNCIAS EXATAS E DA TERRA,GEOCIÊNCIAS,GEOCIÊNCIAS,NÃO SE APLICA,NÃO SE APLICA,5,GEOCIÊNCIAS,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016017P2,GEOLOGIA E GEOQUÍMICA,GRADUATE PROGRAM IN GEOLOGY AND GEOCHEMISTRY,MESTRADO/DOUTORADO,6,1992,1992/1992,EM FUNCIONAMENTO
179,2021,CIÊNCIAS EXATAS E DA TERRA,GEOCIÊNCIAS,GEOCIÊNCIAS,NÃO SE APLICA,NÃO SE APLICA,5,GEOCIÊNCIAS,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016016P6,GEOFÍSICA,GRADUATE PROGRAM IN GEOPHYSICS,MESTRADO/DOUTORADO,4,1992,1992/1992,EM FUNCIONAMENTO
268,2021,CIÊNCIAS HUMANAS,HISTÓRIA,HISTÓRIA,NÃO SE APLICA,NÃO SE APLICA,40,HISTÓRIA,15025012,18440,UNIFESSPA,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,MARABÁ,ACADÊMICO,15025012073P9,HISTÓRIA,GRADUATE PROGRAM IN HISTORY OF THE THE FEDERAL UNIVERSITY OF SOUTHERN AND SOUTHEASTERN PARÁ (PPGHIST/UNIFESSPA),MESTRADO,A,2019,2019,EM FUNCIONAMENTO
127,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,14001012,830,UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AP,MACAPÁ,ACADÊMICO,14001012160P7,LETRAS,GRADUATE PROGRAM IN LINGUISTICS AND LITERATURE,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
187,2021,ENGENHARIAS,ENGENHARIA MECÂNICA,APROVEITAMENTO DE ENERGIA,PROJETOS DE MÁQUINAS,APROVEITAMENTO DE ENERGIA,13,ENGENHARIAS III,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016051P6,ENGENHARIA DE RECURSOS NATURAIS DA AMAZÔNIA,GRADUATE PROGRAM IN NATURAL RESOURCE ENGINEERING IN THE AMAZON,DOUTORADO,5,2006,2006,EM FUNCIONAMENTO
201,2021,CIÊNCIAS HUMANAS,PSICOLOGIA,PSICOBIOLOGIA,PSICOLOGIA FISIOLÓGICA,PSICOBIOLOGIA,37,PSICOLOGIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016084P1,NEUROCIÊNCIAS E COMPORTAMENTO,GRADUATE PROGRAM IN NEUROSCIENCES AND BEHAVIOR,MESTRADO,3,2014,2014,EM FUNCIONAMENTO
316,2021,CIÊNCIAS DA SAÚDE,ENFERMAGEM,ENFERMAGEM,NÃO SE APLICA,NÃO SE APLICA,20,ENFERMAGEM,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010025P0,ENFERMAGEM,GRADUATE PROGRAM IN NURSING,MESTRADO,3,2011,2011,EM FUNCIONAMENTO
247,2021,CIÊNCIAS DA SAÚDE,ENFERMAGEM,ENFERMAGEM,NÃO SE APLICA,NÃO SE APLICA,20,ENFERMAGEM,15006018,38,UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,SIM,UFAM,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15006018003P3,ENFERMAGEM,GRADUATE PROGRAM IN NURSING - UEPA/UFAM,MESTRADO,3,2010,2010,EM FUNCIONAMENTO
177,2021,CIÊNCIAS EXATAS E DA TERRA,FÍSICA,FÍSICA,NÃO SE APLICA,NÃO SE APLICA,3,ASTRONOMIA / FÍSICA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016037P3,FÍSICA,GRADUATE PROGRAM IN PHYSICS,MESTRADO/DOUTORADO,5,2002,2002/2010,EM FUNCIONAMENTO
53,2021,CIÊNCIAS EXATAS E DA TERRA,FÍSICA,FÍSICA,NÃO SE APLICA,NÃO SE APLICA,3,ASTRONOMIA / FÍSICA,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015006P2,FÍSICA,GRADUATE PROGRAM IN PHYSICS,MESTRADO/DOUTORADO,4,1999,1999/2016,EM FUNCIONAMENTO
217,2021,ENGENHARIAS,ENGENHARIA MECÂNICA,ENGENHARIA MECÂNICA,NÃO SE APLICA,NÃO SE APLICA,13,ENGENHARIAS III,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016075P2,ENGENHARIA DE PROCESSOS,GRADUATE PROGRAM IN PROCESS ENGINEERING,MESTRADO PROFISSIONAL,3,2013,2013,EM FUNCIONAMENTO
371,2021,CIÊNCIAS SOCIAIS APLICADAS,SERVIÇO SOCIAL,SERVIÇO SOCIAL,NÃO SE APLICA,NÃO SE APLICA,32,SERVIÇO SOCIAL,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014005P1,POLÍTICAS PÚBLICAS,GRADUATE PROGRAM IN PUBLIC POLICY,MESTRADO/DOUTORADO,4,2002,2002/2011,EM FUNCIONAMENTO
21,2021,"LINGÜÍSTICA, LETRAS E ARTES",ARTES,ARTES,NÃO SE APLICA,NÃO SE APLICA,11,ARTES,11001011,549,UFAC,UNIVERSIDADE FEDERAL DO ACRE,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AC,RIO BRANCO,ACADÊMICO,11001011075P1,ARTES CÊNICAS,GRADUATE PROGRAM IN SCENIC ARTS,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
274,2021,CIÊNCIAS SOCIAIS APLICADAS,SERVIÇO SOCIAL,SERVIÇO SOCIAL,NÃO SE APLICA,NÃO SE APLICA,32,SERVIÇO SOCIAL,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,MIRACEMA DO TOCANTINS,ACADÊMICO,16003012175P2,SERVIÇO SOCIAL,GRADUATE PROGRAM IN SOCIAL WORK,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
220,2021,CIÊNCIAS SOCIAIS APLICADAS,SERVIÇO SOCIAL,SERVIÇO SOCIAL,NÃO SE APLICA,NÃO SE APLICA,32,SERVIÇO SOCIAL,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016036P7,SERVIÇO SOCIAL,GRADUATE PROGRAM IN SOCIAL WORK,MESTRADO/DOUTORADO,4,1996,1996/2017,EM FUNCIONAMENTO
257,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SOCIAIS E HUMANIDADES,SOCIAIS E HUMANIDADES,NÃO SE APLICA,45,INTERDISCIPLINAR,15010015,15059,UFOPA,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,SANTARÉM,ACADÊMICO,15010015070P6,CIÊNCIAS DA SOCIEDADE,GRADUATE PROGRAM IN SOCIETY SCIENCES,MESTRADO,3,2016,2016,EM FUNCIONAMENTO
152,2021,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,NÃO SE APLICA,NÃO SE APLICA,34,SOCIOLOGIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016034P4,SOCIOLOGIA E ANTROPOLOGIA,GRADUATE PROGRAM IN SOCIOLOGY AND ANTHROPOLOGY,MESTRADO/DOUTORADO,4,2002,2003/2002,EM FUNCIONAMENTO
298,2021,CIÊNCIAS AGRÁRIAS,ZOOTECNIA,ZOOTECNIA,NÃO SE APLICA,NÃO SE APLICA,23,ZOOTECNIA / RECURSOS PESQUEIROS,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,SIM,UFRA;UFNT,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,ARAGUAÍNA,ACADÊMICO,16003012002P0,ZOOTECNIA NOS TRÓPICOS,GRADUATE PROGRAM IN TROPICAL ANIMAL SCIENCE,MESTRADO/DOUTORADO,4,2006,2006/2009,EM FUNCIONAMENTO
